restaurant_name,restaurant_url,menu_type,name,description,price
Amigos Cantina,https://amigoscantina.net/,Menu,ARROZ CON POLLO,"grilled 8oz marinated chicken breast baked over rice
with choice of sauce, melted cheese.
served with refried or black beans & maduros",$24
Amigos Cantina,https://amigoscantina.net/,Menu,ARROZ CON CAMARONES,"grilled marinated shrimp baked over rice with choice of
sauce, melted cheese.
served with refried or black beans & maduros",$25
Amigos Cantina,https://amigoscantina.net/,Menu,BLACKENED HADDOCK,"with shredded cabbage, roasted
corn salsa, dill-caper crema",$23
Amigos Cantina,https://amigoscantina.net/,Menu,BAJA COD,"fried beer-battered cod with jalapeno tartar
sauce, pico de gallo, shredded cabbage",$22
Amigos Cantina,https://amigoscantina.net/,Menu,GRILLED SHRIMP,"with shredded cabbage, pico de gallo,
citrus crema, guacamole",$25
Amigos Cantina,https://amigoscantina.net/,Menu,GRILLED STEAK,"with chipotle-lime sauce, sauteed onions &
peppers, roasted corn salsa, cotija",$23
Amigos Cantina,https://amigoscantina.net/,Menu,GRILLED CHICKEN,8oz marinated breast,$25
Amigos Cantina,https://amigoscantina.net/,Menu,GRILLED STEAK,8oz marinated angus flat iron,$28
Amigos Cantina,https://amigoscantina.net/,Menu,GRILLED SHRIMP,red chile-cilantro seasoned,$26
Amigos Cantina,https://amigoscantina.net/,Menu,VEGETABLE,"served sizzling with onions, peppers &
tomatoes, sides of beans, rice, pico de gallo,
corn salsa, sour cream, 3 tortillas",$19
Amigos Cantina,https://amigoscantina.net/,Menu,RITUAL RITA,"ritual zero proof, agave, sour mix",$10
Amigos Cantina,https://amigoscantina.net/,Menu,RITUAL PALOMA,"ritual zero proof, agave, grapefruit, lime, club soda",$10
Amigos Cantina,https://amigoscantina.net/,Menu,NOJITO,"muddled mint, simple syrup, lime, club soda",$8
Amigos Cantina,https://amigoscantina.net/,Menu,CARIBBEAN LEMONADE,"orange, lemon, guava, lavender",$8
Amigos Cantina,https://amigoscantina.net/,Menu,HOUSE,"gold tequila, orange liqueur, sour mix",$10
Amigos Cantina,https://amigoscantina.net/,Menu,SKINNY,"gold tequila, lime, agave, club soda",$10
Amigos Cantina,https://amigoscantina.net/,Menu,SPICY,"tanteo jalapeno tequila, orange liqueur, sour mix, muddled jalapeno",$14
Amigos Cantina,https://amigoscantina.net/,Menu,BLUE MOON,"hornitos reposado, blue curacao, chambord, sour mix",$14
Amigos Cantina,https://amigoscantina.net/,Menu,LIME IN THE COCONUT,"1800 coconut tequila, coco lopez, pineapple, sour mix",$14
Amigos Cantina,https://amigoscantina.net/,Menu,EL PATRON,"patron silver, citronge, fresh lime, agave",$16
Amigos Cantina,https://amigoscantina.net/,Menu,CADILLAC,"herradurra anejo, grand marnier, fresh lime, agave",$16
Amigos Cantina,https://amigoscantina.net/,Menu,MAKE IT FRUITY,"add a flavor to a margarita +1 black raspberry, mango, melon, peach, pomegranate, raspberry, strawberry, blue curacao",
Amigos Cantina,https://amigoscantina.net/,Menu,LAVENDER LIMONADA,"vodka, lemon, guava, lavender syrup",$12
Amigos Cantina,https://amigoscantina.net/,Menu,MOJITO,"white rum, lime, muddled mint, simple syrup",$12
Amigos Cantina,https://amigoscantina.net/,Menu,SANGRIA,"red or white with brandy, peach, orange, lemon, lime, guava",$12
Amigos Cantina,https://amigoscantina.net/,Menu,PINA COLADA,"blended white rum, malibu rum, pineapple, coco lopez",$12
Amigos Cantina,https://amigoscantina.net/,Menu,PAINKILLER,"bacardi black rum, pineapple, coco lopez, orange, nutmeg",$13
Amigos Cantina,https://amigoscantina.net/,Menu,COORS LIGHT,,$5.5
Amigos Cantina,https://amigoscantina.net/,Menu,CORONA,,$5.5
Amigos Cantina,https://amigoscantina.net/,Menu,CORONA LIGHT,,$5.5
Amigos Cantina,https://amigoscantina.net/,Menu,DOS EQUIS LAGER,,$5.5
Amigos Cantina,https://amigoscantina.net/,Menu,FIDDLEHEAD IPA,,$6.5
Amigos Cantina,https://amigoscantina.net/,Menu,HARPOON IPA,,$5.5
Amigos Cantina,https://amigoscantina.net/,Menu,HEINEKEN 0%,,$5.5
Amigos Cantina,https://amigoscantina.net/,Menu,LANDSHARK,,$5.5
Amigos Cantina,https://amigoscantina.net/,Menu,MODELO ESPECIAL,,$6.5
Amigos Cantina,https://amigoscantina.net/,Menu,MODELO NEGRA,,$6.5
Amigos Cantina,https://amigoscantina.net/,Menu,PACIFICO,,$5.5
Amigos Cantina,https://amigoscantina.net/,Menu,RED STRIPE,,$5.5
Amigos Cantina,https://amigoscantina.net/,Menu,SARATOGA APPLE CIDER,,$8
Amigos Cantina,https://amigoscantina.net/,Menu,TECATE,,$5.5
Amigos Cantina,https://amigoscantina.net/,Menu,CABERNET SAUVIGNON (FRONTERA),,$9
Amigos Cantina,https://amigoscantina.net/,Menu,CHARDONNAY (FRONTERA),,$9
Amigos Cantina,https://amigoscantina.net/,Menu,MALBEC (FRONTERA),,$9
Amigos Cantina,https://amigoscantina.net/,Menu,MERLOT (FRONTERA),,$9
Amigos Cantina,https://amigoscantina.net/,Menu,PINOT GRIGIO (FRONTERA),,$9
Amigos Cantina,https://amigoscantina.net/,Menu,SAUVIGNON BLANC (FRONTERA),,$9
Amigos Cantina,https://amigoscantina.net/,Menu,SAUVIGNON BLANC (MONKEY BAY),,$9
Amigos Cantina,https://amigoscantina.net/,Menu,SHIRAZ (FRONTERA),,$9
Amigos Cantina,https://amigoscantina.net/,Menu,WHITE ZINFADEL (LA TERRE),,$9
Amigos Cantina,https://amigoscantina.net/,Menu,1519 BLANCO,,$12
Amigos Cantina,https://amigoscantina.net/,Menu,1800 COCONUT,,$11
Amigos Cantina,https://amigoscantina.net/,Menu,1800 SILVER,,$10
Amigos Cantina,https://amigoscantina.net/,Menu,21 SEED GRAPEFRUIT,,$11
Amigos Cantina,https://amigoscantina.net/,Menu,ALACRAN BLANCO,,$9
Amigos Cantina,https://amigoscantina.net/,Menu,AVION SILVER,,$12
Amigos Cantina,https://amigoscantina.net/,Menu,CABO WABO BLANCO,,$10
Amigos Cantina,https://amigoscantina.net/,Menu,CASAMIGOS BLANCO,,$11
Amigos Cantina,https://amigoscantina.net/,Menu,CAZADORES BLANCO,,$9
Amigos Cantina,https://amigoscantina.net/,Menu,CENOTE BLANCO,,$11
Amigos Cantina,https://amigoscantina.net/,Menu,CIELO SILVER,,$10
Amigos Cantina,https://amigoscantina.net/,Menu,CLASE AZUL PLATA,,$18
Amigos Cantina,https://amigoscantina.net/,Menu,CORAZON BLANCO,,$9
Amigos Cantina,https://amigoscantina.net/,Menu,CRUZ SILVER,,$12
Amigos Cantina,https://amigoscantina.net/,Menu,DON JULIO SILVER,,$14
Amigos Cantina,https://amigoscantina.net/,Menu,EL TORO GOLD,,$8
Amigos Cantina,https://amigoscantina.net/,Menu,EXOTICO BLANCO,,$11
Amigos Cantina,https://amigoscantina.net/,Menu,GRAND MAYAN SILVER,,$16
Amigos Cantina,https://amigoscantina.net/,Menu,HERRADURA SILVER,,$10
Amigos Cantina,https://amigoscantina.net/,Menu,IXA SILVER*,,$11
Amigos Cantina,https://amigoscantina.net/,Menu,JOSE CUERVO GOLD,,$9
Amigos Cantina,https://amigoscantina.net/,Menu,JOSE CUERVO SILVER,,$9
Amigos Cantina,https://amigoscantina.net/,Menu,KAH BLANCO,,$12
Amigos Cantina,https://amigoscantina.net/,Menu,MI CAMPO BLANCO,,$9
Amigos Cantina,https://amigoscantina.net/,Menu,MILAGRO SILVER,,$9
Amigos Cantina,https://amigoscantina.net/,Menu,ONE WITH LIFE BLANCO*,,$11
Amigos Cantina,https://amigoscantina.net/,Menu,PARTIDA BLANCO,,$10
Amigos Cantina,https://amigoscantina.net/,Menu,PATRON SILVER,,$12
Amigos Cantina,https://amigoscantina.net/,Menu,SKELLY BLANCO,,$16
Amigos Cantina,https://amigoscantina.net/,Menu,SAUZA GOLD,,$8
Amigos Cantina,https://amigoscantina.net/,Menu,TANTEO HABANERO,,$10
Amigos Cantina,https://amigoscantina.net/,Menu,TRES GENERACIONES PLATA,,$12
Amigos Cantina,https://amigoscantina.net/,Menu,YAVE JALAPENO,,$10
Amigos Cantina,https://amigoscantina.net/,Menu,1800 REPOSADO,,$11
Amigos Cantina,https://amigoscantina.net/,Menu,AGAVE LOCO REPOSADO,,$9
Amigos Cantina,https://amigoscantina.net/,Menu,CABEZA REPOSADO,,$10
Amigos Cantina,https://amigoscantina.net/,Menu,CABO WABO REPOSADO,,$11
Amigos Cantina,https://amigoscantina.net/,Menu,CAMARENA REPOSADO,,$9
Amigos Cantina,https://amigoscantina.net/,Menu,CASA MAESTRI REPOSADO,,$14
Amigos Cantina,https://amigoscantina.net/,Menu,CASA NOBLE REPOSADO,,$11
Amigos Cantina,https://amigoscantina.net/,Menu,CAZADORES REPOSADO,,$11
Amigos Cantina,https://amigoscantina.net/,Menu,CASAMIGOS REPOSADO,,$13
Amigos Cantina,https://amigoscantina.net/,Menu,CENTENARIO REPOSADO,,$9
Amigos Cantina,https://amigoscantina.net/,Menu,CHINACO REPOSADO,,$11
Amigos Cantina,https://amigoscantina.net/,Menu,CORAZON REPOSADO,,$11
Amigos Cantina,https://amigoscantina.net/,Menu,CORRALEJO REPOSADO,,$14
Amigos Cantina,https://amigoscantina.net/,Menu,CORZO REPOSADO,,$11
Amigos Cantina,https://amigoscantina.net/,Menu,DELEON REPOSADO,,$13
