restaurant_name,restaurant_url,menu_type,name,description,price
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Import Cans/Bottles,,$7
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Chardonnay,,$9
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Sauvignon Blanc,,$9
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Pinot Grigio,,$9
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Cabernet Sauvignon,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Malbec,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Pinot Noir,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Prosecco Brut,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Aberlour 12 Year,,$11
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Aberlour 16 Year,,$18
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Aberlour 18 Year,,$25
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Aberlour A'Bunadh,,$17
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Aberlour A'Bunadh Alba,,$15
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Aberlour Casg Annamh,,$11
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Aultmore 12 Year,,$13
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Balvenie Doublewood 12 Year,,$12
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Balvenie 14 Year,,$16
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Balvenie 21 year,,$46
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Benriach The Smoky Twelve,,$12
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Benromach 10,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Cardhu 12 Year,,$12
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Cardhu Game of Thrones,,$9
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Cragganmore 12,,$13
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glen Deveron 18 Year,,$21
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glendronach 12 Year,,$14
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glenfarclas 10 Year,,$9
