restaurant_name,restaurant_url,menu_name,menu_type,section,location,name,description,price
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Hot Drinks,Menu,Hot Drinks,Saratoga Springs,Vanilla Latte,,Small $3.90 | Medium $4.60 | Large $4.90
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Hot Drinks,Menu,Hot Drinks,Saratoga Springs,Caramel Latte,,Small $3.90 | Medium $4.60 | Large $4.90
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Hot Drinks,Menu,Hot Drinks,Saratoga Springs,White Mocha,,Small $4.25 | Medium $4.85 | Large $5.25
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Hot Drinks,Menu,Hot Drinks,Saratoga Springs,Red Eye,,Small $3.05 | Medium $3.70 | Large $4.00
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Hot Drinks,Menu,Hot Drinks,Saratoga Springs,Espresso single,,$1.95
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Hot Drinks,Menu,Hot Drinks,Saratoga Springs,Hot Chocolate,,Small $3.00 | Medium $3.50 | Large $3.75
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Hot Drinks,Menu,Hot Drinks,Saratoga Springs,White Hot Chocolate,25 95,$3.
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Tea,Menu,Tea,Saratoga Springs,Cup of Tea “for here”,,$1.90
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Tea,Menu,Tea,Saratoga Springs,Pot of Tea,,$3.50
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Tea,Menu,Tea,Saratoga Springs,Tea to go,,Small $2.00 | Medium $2.40 | Large $2.60
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Tea,Menu,Tea,Saratoga Springs,Chai Latte,,Small $3.80 | Medium $4.40 | Large $4.80
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Tea,Menu,Tea,Saratoga Springs,Matcha Latte,,Small $4.00 | Medium $4.35 | Large $4.75
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Blended,Menu,Blended,Saratoga Springs,Espresso Frappe,,Small $4.65 | Large $5.05
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Blended,Menu,Blended,Saratoga Springs,Espresso Frappe with Oreo,,Small $4.90 | Large $5.30
